id,neighbourhood_group_cleansed,room_type,instant_bookable,accommodates,bathrooms,bedrooms,beds,host_total_listings_count,distance_to_center,price,ln_price
15260962,Manhattan,Entire home/apt,True,6,2.0,2.0,3.0,41.0,3.7450554273724705,490.0,6.19644412779452
15268654,Brooklyn,Entire home/apt,False,5,1.0,2.0,2.0,4.0,8.558625010705214,180.0,5.198497031265826
14918404,Brooklyn,Private room,True,2,1.0,1.0,1.0,7.0,13.394658377760155,80.0,4.394449154672439
14925506,Queens,Entire home/apt,True,4,1.0,2.0,2.0,5.0,24.16357466309169,181.0,5.204006687076795
14931156,Brooklyn,Entire home/apt,False,2,1.0,0.0,2.0,1.0,11.217182514464522,78.0,4.3694478524670215
14933388,Brooklyn,Private room,False,2,1.0,1.0,1.0,2.0,8.637099189857611,62.0,4.143134726391533
14933521,Manhattan,Entire home/apt,False,2,1.0,1.0,1.0,1.0,7.471973774872248,109.0,4.700480365792417
15268792,Manhattan,Entire home/apt,False,4,1.0,0.0,2.0,3.0,3.5650000499060193,350.0,5.860786223465865
15301517,Queens,Private room,False,1,2.5,1.0,1.0,8.0,4.907812867084263,66.0,4.204692619390966
15301748,Bronx,Private room,True,2,1.0,1.0,1.0,5.0,15.021083285561934,62.0,4.143134726391533
15310919,Brooklyn,Entire home/apt,False,2,1.0,1.0,1.0,7.0,16.92410263609883,275.0,5.62040086571715
15312128,Brooklyn,Entire home/apt,False,5,2.0,2.0,3.0,2.0,7.578662276218164,330.0,5.802118375377063
14961122,Brooklyn,Entire home/apt,False,4,1.0,1.0,2.0,2.0,10.049866610088404,110.0,4.709530201312334
14963736,Manhattan,Entire home/apt,False,3,1.0,0.0,1.0,261.0,0.9693925472934957,125.0,4.836281906951478
14968436,Manhattan,Private room,False,2,1.0,1.0,1.0,1.0,6.754635151565943,90.0,4.51085950651685
14982260,Queens,Entire home/apt,False,3,1.0,1.0,2.0,1.0,5.757861020671428,162.0,5.093750200806762
15336596,Bronx,Private room,False,2,1.0,1.0,1.0,2.0,15.655164410046533,55.0,4.02535169073515
15338155,Queens,Private room,False,2,1.0,1.0,1.0,5.0,7.642637240568267,90.0,4.51085950651685
15343302,Manhattan,Entire home/apt,True,3,1.0,2.0,2.0,4.0,6.764586333130147,213.0,5.365976015021851
14987516,Queens,Entire home/apt,True,2,1.0,1.0,1.0,1.0,24.641471535420568,149.0,5.0106352940962555
14994076,Bronx,Entire home/apt,False,9,2.0,4.0,5.0,21.0,18.73476568705752,365.0,5.902633333401366
15002637,Manhattan,Private room,False,2,1.5,1.0,1.0,1.0,4.61247672583903,111.0,4.718498871295094
15360687,Brooklyn,Entire home/apt,False,2,1.0,1.0,1.0,2.0,9.435928961868953,185.0,5.225746673713202
15360787,Manhattan,Private room,False,2,1.0,1.0,1.0,2.0,6.697804395358476,139.0,4.941642422609304
15371951,Brooklyn,Private room,False,2,1.0,1.0,1.0,2.0,7.918779208806532,103.0,4.6443908991413725
15473752,Queens,Private room,False,2,0.5,1.0,1.0,5.0,15.16871235929597,47.0,3.871201010907891
15476794,Queens,Entire home/apt,False,2,1.0,1.0,1.0,4.0,21.37544677797764,125.0,4.836281906951478
15381675,Brooklyn,Private room,False,2,1.0,1.0,1.0,1.0,10.088409591201762,162.0,5.093750200806762
15411988,Manhattan,Private room,False,1,1.0,1.0,1.0,1.0,0.7884133872244753,133.0,4.897839799950911
15482966,Queens,Private room,False,1,1.0,1.0,1.0,3.0,5.900474706310861,73.0,4.30406509320417
15483201,Queens,Private room,False,2,1.0,1.0,1.0,3.0,5.803707209892668,186.0,5.231108616854587
15485880,Manhattan,Private room,False,2,1.0,1.0,2.0,1.0,3.6364781266994832,190.0,5.25227342804663
15495132,Manhattan,Entire home/apt,False,5,1.0,2.0,4.0,73.0,5.002144688155209,153.0,5.0369526024136295
15423962,Brooklyn,Private room,False,2,1.0,1.0,1.0,6.0,16.592772972696096,39.0,3.6888794541139363
15425744,Manhattan,Private room,False,2,1.0,1.0,1.0,4.0,9.647729906732394,74.0,4.31748811353631
15436836,Brooklyn,Private room,False,2,1.0,2.0,3.0,1.0,8.14621335465305,358.0,5.883322388488279
15436871,Manhattan,Entire home/apt,False,6,1.0,2.0,3.0,3.0,5.10633707011522,158.0,5.0689042022202315
15444619,Brooklyn,Entire home/apt,False,4,1.5,1.0,2.0,1.0,7.613105250017173,323.0,5.780743515792329
15506009,Brooklyn,Entire home/apt,True,6,1.0,2.0,1.0,6.0,9.719696731401898,241.0,5.488937726156687
15507375,Brooklyn,Private room,False,4,1.0,1.0,1.0,2.0,20.30179947005973,51.0,3.9512437185814275
15522627,Brooklyn,Private room,False,1,1.0,1.0,1.0,1.0,10.102371382498093,107.0,4.68213122712422
15527416,Queens,Private room,False,2,1.0,1.0,2.0,2.0,9.06183867408893,67.0,4.219507705176107
15529937,Brooklyn,Private room,True,2,2.0,1.0,1.0,6.0,16.592772972696096,39.0,3.6888794541139363
15465050,Manhattan,Private room,False,2,1.0,1.0,1.0,2.0,2.7964453557330784,137.0,4.927253685157205
15772447,Brooklyn,Private room,False,2,1.0,1.0,1.0,1.0,6.054760996429642,184.0,5.220355825078324
15774003,Brooklyn,Entire home/apt,False,4,1.0,2.0,3.0,1.0,17.2789147136933,204.0,5.3230099791384085
15549056,Manhattan,Private room,True,2,1.0,1.0,2.0,3.0,6.853555742665844,276.0,5.6240175061873385
15576821,Bronx,Private room,False,1,1.0,1.0,2.0,14.0,17.005511257464118,52.0,3.970291913552122
15581948,Brooklyn,Private room,True,2,1.0,1.0,1.0,1.0,9.211726752064465,133.0,4.897839799950911
15583957,Manhattan,Entire home/apt,False,3,1.0,0.0,1.0,261.0,4.458417932662204,165.0,5.111987788356544
15774629,Brooklyn,Entire home/apt,False,3,1.0,2.0,4.0,1.0,8.314798881039946,203.0,5.318119993844216
15775085,Brooklyn,Private room,False,1,1.0,3.0,3.0,1.0,4.9323532113676425,85.0,4.454347296253507
15781324,Brooklyn,Entire home/apt,False,2,1.0,1.0,1.0,6.0,8.983471952232117,149.0,5.0106352940962555
15784377,Manhattan,Entire home/apt,True,3,1.0,1.0,1.0,1127.0,1.5774059828521547,366.0,5.905361848054571
15785088,Brooklyn,Private room,False,2,1.0,1.0,2.0,1.0,8.783237134108964,249.0,5.521460917862246
15597600,Brooklyn,Entire home/apt,False,2,1.0,2.0,2.0,1.0,9.053049311253265,177.0,5.181783550292085
15641341,Staten Island,Private room,False,1,1.0,1.0,1.0,3.0,15.613047071840974,47.0,3.871201010907891
15790974,Brooklyn,Private room,False,1,1.0,3.0,2.0,2.0,7.22765695633761,77.0,4.356708826689592
15799340,Brooklyn,Entire home/apt,False,4,1.0,0.0,2.0,1.0,17.953793615509767,79.0,4.382026634673881
15675520,Manhattan,Entire home/apt,False,4,1.0,1.0,1.0,5.0,3.0685449671424,498.0,6.212606095751519
15706863,Brooklyn,Entire home/apt,False,4,1.0,2.0,5.0,1.0,8.705371663657013,196.0,5.2832037287379885
15715486,Brooklyn,Entire home/apt,False,2,1.0,1.0,2.0,4.0,5.173710043291171,148.0,5.003946305945459
15815905,Manhattan,Entire home/apt,False,2,1.0,1.0,1.0,10.0,5.061392599961846,135.0,4.912654885736052
15819665,Brooklyn,Private room,False,2,1.0,2.0,2.0,,10.574495888503339,125.0,4.836281906951478
15822044,Brooklyn,Private room,False,1,0.5,1.0,1.0,1.0,5.996844446361369,88.0,4.48863636973214
15723889,Manhattan,Entire home/apt,False,2,1.0,1.0,2.0,5.0,2.3435431877676245,150.0,5.017279836814924
15732405,Queens,Entire home/apt,True,8,1.0,3.0,4.0,2.0,21.019321935508252,270.0,5.602118820879701
15732778,Brooklyn,Private room,False,1,1.0,1.0,1.0,2.0,11.349829544085287,75.0,4.330733340286331
15732919,Queens,Private room,True,2,1.0,1.0,6.0,2.0,21.33572643353073,117.0,4.770684624465665
15827829,Manhattan,Entire home/apt,False,2,1.0,0.0,2.0,261.0,3.7558663360229607,130.0,4.875197323201151
15832098,Manhattan,Private room,False,1,2.0,1.0,1.0,6.0,7.83000619912854,111.0,4.718498871295094
15844782,Brooklyn,Private room,False,2,1.0,1.0,1.0,1.0,11.25978261753218,99.0,4.605170185988092
15845669,Bronx,Entire home/apt,False,2,1.0,0.0,2.0,2.0,15.260964512129945,99.0,4.605170185988092
15847347,Manhattan,Entire home/apt,False,6,1.0,2.0,3.0,2.0,4.00544640015126,299.0,5.703782474656201
15733438,Manhattan,Private room,False,2,2.0,1.0,1.0,3.0,5.185860658372964,139.0,4.941642422609304
15740080,Brooklyn,Private room,False,4,1.0,2.0,2.0,17.0,14.8518422196782,152.0,5.030437921392435
15854548,Brooklyn,Private room,False,1,1.0,1.0,1.0,5.0,8.072177858652413,49.0,3.912023005428146
15857118,Brooklyn,Entire home/apt,False,5,1.0,3.0,4.0,9.0,9.146464402931766,191.0,5.2574953720277815
15858847,Manhattan,Entire home/apt,True,4,1.0,0.0,2.0,14.0,6.144890944423483,185.0,5.225746673713202
15767741,Manhattan,Entire home/apt,True,2,1.0,0.0,1.0,1127.0,3.48348739561711,306.0,5.726847747587197
15769077,Queens,Entire home/apt,False,2,1.0,1.0,1.0,2.0,10.293809554122495,110.0,4.709530201312334
16004776,Brooklyn,Private room,False,2,1.0,1.0,1.0,4.0,6.791341740670544,132.0,4.890349128221754
15870454,Manhattan,Entire home/apt,False,3,1.0,0.0,1.0,261.0,0.9693925472934957,125.0,4.836281906951478
15911729,Manhattan,Entire home/apt,False,2,1.0,1.0,2.0,7.0,6.058250957247717,200.0,5.303304908059076
16019792,Brooklyn,Entire home/apt,False,1,1.0,1.0,0.0,1.0,14.38496721536881,65.0,4.189654742026425
16029078,Manhattan,Private room,False,3,1.0,1.0,1.0,7.0,13.203039089106435,113.0,4.736198448394496
16055506,Queens,Entire home/apt,False,2,1.0,1.0,2.0,1.0,7.896051470329065,500.0,6.2166061010848646
16063885,Manhattan,Entire home/apt,False,3,1.0,1.0,2.0,6.0,6.050584148200847,150.0,5.017279836814924
15928001,Manhattan,Entire home/apt,False,2,1.0,0.0,1.0,387.0,3.383787064764015,136.0,4.919980925828125
15928635,Brooklyn,Private room,False,1,1.0,2.0,1.0,3.0,8.408934545995546,41.0,3.7376696182833684
15928835,Manhattan,Entire home/apt,False,2,1.0,0.0,2.0,2.0,6.067742494377658,91.0,4.5217885770490405
15929281,Manhattan,Private room,True,2,1.0,1.0,1.0,9.0,3.542573133803201,80.0,4.394449154672439
15938836,Queens,Entire home/apt,False,3,1.0,1.0,1.0,6.0,14.84374927247819,84.0,4.442651256490317
16070567,Brooklyn,Private room,False,1,1.5,1.0,1.0,1.0,7.7251309518990094,75.0,4.330733340286331
15939056,Queens,Entire home/apt,False,3,1.0,1.0,1.0,6.0,14.989858300925844,84.0,4.442651256490317
15943497,Brooklyn,Private room,False,1,1.0,1.0,1.0,3.0,7.997486380251736,51.0,3.9512437185814275
15948069,Manhattan,Entire home/apt,False,5,2.0,4.0,5.0,29.0,4.874167989190088,275.0,5.62040086571715
15952447,Brooklyn,Entire home/apt,False,2,1.0,1.0,1.0,1.0,9.719988155566424,150.0,5.017279836814924
16122024,Manhattan,Private room,False,2,1.0,1.0,1.0,1.0,10.619860864182032,90.0,4.51085950651685
16122082,Manhattan,Entire home/apt,False,2,1.0,0.0,1.0,26.0,9.298333063710253,82.0,4.418840607796598
16123943,Staten Island,Private room,True,2,1.0,1.0,1.0,4.0,19.318660222497343,348.0,5.855071922202427
16132114,Staten Island,Private room,False,1,1.0,1.0,1.0,5.0,16.07388744951029,33.0,3.5263605246161616
16140940,Brooklyn,Entire home/apt,False,4,1.0,1.0,1.0,19.0,9.503737991767645,213.0,5.365976015021851
16148036,Bronx,Private room,False,2,1.0,1.0,1.0,5.0,14.936335530500841,50.0,3.9318256327243257
15992078,Manhattan,Shared room,False,2,1.0,1.0,1.0,1.0,0.6959268784634509,75.0,4.330733340286331
15995824,Manhattan,Private room,False,2,1.0,1.0,1.0,2.0,3.1158757019316856,86.0,4.465908118654584
16253413,Queens,Private room,False,2,1.0,1.0,1.0,5.0,24.599936696371977,86.0,4.465908118654584
16254609,Queens,Private room,False,2,2.0,3.0,4.0,5.0,24.610870856620547,224.0,5.41610040220442
16157731,Brooklyn,Entire home/apt,False,4,1.0,1.0,2.0,2.0,7.639246190001822,250.0,5.5254529391317835
16158343,Brooklyn,Entire home/apt,True,6,1.0,3.0,6.0,1.0,12.268486906456017,316.0,5.75890177387728
16174233,Manhattan,Entire home/apt,False,2,1.0,0.0,1.0,73.0,2.7575759979178556,192.0,5.262690188904886
16269344,Brooklyn,Entire home/apt,False,4,2.0,2.0,2.0,4.0,7.316330223859909,181.0,5.204006687076795
16273510,Manhattan,Entire home/apt,False,4,1.0,2.0,0.0,261.0,0.9693925472934957,175.0,5.170483995038151
16274061,Manhattan,Entire home/apt,False,1,1.0,1.0,1.0,2.0,4.955127511840365,118.0,4.77912349311153
16282085,Brooklyn,Entire home/apt,False,8,3.0,4.0,5.0,1.0,9.435250015448279,328.0,5.796057750765372
16180645,Queens,Private room,False,1,1.0,1.0,1.0,6.0,4.985331747223457,57.0,4.060443010546419
16201959,Brooklyn,Entire home/apt,False,4,2.5,2.0,2.0,2.0,8.694159724162978,288.0,5.666426688112432
16299489,Brooklyn,Private room,False,2,1.0,1.0,1.0,44.0,7.856332392614489,46.0,3.8501476017100584
16212767,Manhattan,Entire home/apt,False,2,1.0,0.0,1.0,2.0,3.2230623457531387,142.0,4.962844630259907
16216301,Staten Island,Private room,False,1,1.0,1.0,1.0,5.0,16.136905346567673,40.0,3.713572066704308
16311616,Manhattan,Private room,True,2,1.0,1.0,1.0,2.0,3.924110450681921,114.0,4.74493212836325
16312498,Manhattan,Entire home/apt,False,3,1.0,0.0,1.0,261.0,4.458417932662204,165.0,5.111987788356544
