,accommodates,price,host_total_listings_count,review_scores_rating,latitude,longitude,availability_365,distance_to_center,instant_bookable,room_type
167,2.0,150.0,1.0,4.81,40.75077,-73.99657,275,4.304282686806379,f,Entire home/apt
168,2.0,62.0,1.0,4.69,40.85433,-73.9324,173,16.921390651910947,f,Private room
169,3.0,150.0,1.0,4.94,40.66952,-73.99201,74,4.947497145945753,f,Entire home/apt
172,9.0,2500.0,17.0,4.96,40.7751,-73.98595,364,7.138469376406734,f,Entire home/apt
173,1.0,101.0,1.0,4.68,40.67545,-73.96096,53,5.622358323367631,f,Entire home/apt
175,2.0,150.0,1.0,4.79,40.74045,-73.9749,274,4.046829345252261,f,Entire home/apt
176,1.0,175.0,1.0,4.89,40.72113,-73.98213,83,2.219256293394435,f,Private room
177,3.0,133.0,1.0,4.76,40.78959,-73.94705,334,9.885152280801789,f,Entire home/apt
181,6.0,590.0,40.0,4.17,40.73778,-73.95366,0,5.217731832180727,f,Private room
182,3.0,260.0,2.0,4.72,40.693047,-73.971985,274,3.6081001886869957,f,Entire home/apt
183,1.0,114.0,2.0,4.93,40.58603,-73.8145,88,21.43663399255734,f,Private room
184,1.0,77.0,4.0,4.87,40.82772,-73.95284,259,13.547960897739047,f,Private room
185,4.0,181.0,3.0,4.89,40.68647,-73.95862,95,4.948619918965116,f,Entire home/apt
186,2.0,180.0,2.0,4.78,40.76263,-73.99401,59,5.6402733788724575,f,Private room
190,2.0,130.0,1.0,4.7,40.66836,-73.98166,354,5.343796441954898,f,Entire home/apt
191,2.0,134.0,3.0,4.66,40.74697296939259,-74.00178397023312,203,3.8245108228450317,t,Private room
192,2.0,76.0,2.0,4.6,40.83338,-73.94326,365,14.41914442245263,f,Private room
193,1.0,60.0,3.0,4.66,40.65468,-73.95721,88,7.6549593210866576,f,Private room
194,2.0,221.0,2.0,4.9,40.68615,-73.96769,103,4.3786528433063605,f,Entire home/apt
195,3.0,175.0,4.0,4.76,40.72741,-73.95466,105,4.625644743818632,f,Entire home/apt
197,2.0,95.0,5.0,4.63,40.69132,-73.97306,365,3.658452424235336,f,Private room
198,2.0,60.0,4.0,4.75,40.67582,-73.9518,297,6.14285873969746,f,Private room
199,1.0,58.0,3.0,4.76,40.82402,-73.95263,303,13.16643628344356,f,Private room
201,2.0,133.0,2.0,4.93,40.6767158,-73.9818207,9,4.493971517958052,f,Private room
202,2.0,243.0,3.0,4.83,40.78096,-73.98808,88,7.736017615628952,f,Entire home/apt
203,2.0,142.0,6.0,4.5,40.67635,-73.96108,334,5.542050627459381,f,Entire home/apt
204,2.0,125.0,2.0,4.44,40.73125,-73.9811,58,2.9411470218955436,f,Entire home/apt
209,2.0,85.0,5.0,4.51,40.80384,-73.95123,219,11.13253701140247,f,Entire home/apt
210,2.0,90.0,1.0,4.83,40.68462,-73.92895,286,7.209489953189923,f,Entire home/apt
211,2.0,99.0,5.0,4.86,40.68595,-73.92923,335,7.125109101510364,f,Entire home/apt
213,3.0,189.0,3.0,4.82,40.68646,-73.97548,184,3.8933027175733046,f,Entire home/apt
214,4.0,266.0,1.0,4.87,40.67497,-73.97796,69,4.818929411692726,f,Private room
216,4.0,280.0,2.0,4.93,40.71347,-73.96035,97,3.8497347983033174,f,Entire home/apt
217,8.0,398.0,4.0,4.58,40.687,-73.96149,41,4.719452273110875,t,Entire home/apt
218,2.0,185.0,1.0,4.9,40.68339,-73.94034,178,6.42623423225185,f,Entire home/apt
220,4.0,65.0,2.0,4.61,40.5847,-73.94088,87,15.259838269622778,f,Private room
222,4.0,89.0,8.0,4.56,40.69049,-73.93212,334,6.7021125389949425,f,Entire home/apt
223,1.0,71.0,5.0,4.9,40.73933410644531,-73.9248046875,300,7.455529610401822,f,Private room
225,2.0,220.0,4.0,4.96,40.71681594848633,-73.98969268798828,292,1.4488435064949123,f,Private room
227,2.0,183.0,3.0,4.91,40.69062,-73.97354,181,3.67937571708536,t,Private room
230,4.0,259.0,6.0,4.9,40.80687,-73.95333,365,11.369773028156667,f,Entire home/apt
232,2.0,175.0,4.0,4.75,40.80392,-73.94765,358,11.268867228487268,f,Entire home/apt
