id,price,accommodates,room_type,bedrooms,beds,bathrooms,neighbourhood_group_cleansed,minimum_nights,instant_bookable,review_scores_rating,host_is_superhost,host_total_listings_count,availability_365,latitude,longitude,city
80700,428.0,4,Private room,1.0,2.0,1.0,Brooklyn,1,False,4.7,False,40.0,60,40.73777,-73.95366,NYC
57166,105.0,3,Entire home/apt,1.0,2.0,1.0,Queens,30,False,4.88,True,19.0,264,40.772472,-73.906075,NYC
57297,292.0,2,Private room,1.0,1.0,1.0,Brooklyn,30,False,4.68,False,5.0,180,40.69003,-73.99338,NYC
57874,116.0,2,Entire home/apt,1.0,1.0,1.0,Manhattan,30,False,4.88,True,2.0,307,40.80747,-73.94076,NYC
58059,44.0,2,Private room,1.0,1.0,1.5,Manhattan,30,False,4.71,True,2.0,309,40.8238,-73.94444,NYC
59014,150.0,2,Entire home/apt,1.0,2.0,1.0,Manhattan,30,False,4.67,False,1.0,59,40.71946,-73.98641,NYC
81739,428.0,4,Private room,1.0,2.0,1.0,Brooklyn,1,False,4.0,False,40.0,60,40.73777,-73.95366,NYC
82928,165.0,5,Entire home/apt,2.0,3.0,1.0,Brooklyn,30,False,4.92,False,1.0,288,40.68433,-73.94469,NYC
83243,73.0,3,Entire home/apt,1.0,2.0,1.0,Brooklyn,30,False,4.44,False,6.0,335,40.68769,-73.91788,NYC
83474,166.0,1,Private room,1.0,1.0,1.5,Brooklyn,30,False,5.0,False,4.0,334,40.69132,-73.98573,NYC
84010,381.0,2,Hotel room,1.0,1.0,1.0,Brooklyn,1,False,4.9,False,40.0,58,40.73777,-73.95366,NYC
89427,800.0,10,Entire home/apt,1.0,0.0,1.5,Brooklyn,30,False,,False,5.0,358,40.68513,-73.96648,NYC
93313,165.0,5,Entire home/apt,2.0,4.0,1.0,Brooklyn,30,True,4.72,False,3.0,290,40.684569430603325,-73.93840021354636,NYC
94783,163.0,2,Entire home/apt,1.0,1.0,1.0,Brooklyn,10,False,4.87,True,1.0,78,40.6736,-73.9551,NYC
59121,223.0,9,Entire home/apt,3.0,6.0,1.0,Queens,30,False,4.75,False,11.0,365,40.70271,-73.8993,NYC
